00000.png;126;589;228;634;1;0.7699
00003.png;1294;403;1583;583;1;0.8725
00004.png;1339;417;1618;612;1;0.9268
00004.png;1102;581;1140;614;1;0.9254
00004.png;1339;430;1474;486;1;0.8740
00005.png;1137;455;1407;645;1;0.9203
00005.png;1141;459;1258;514;1;0.8501
00005.png;1236;462;1410;519;1;0.8324
00006.png;607;37;952;358;1;0.9599
00007.png;1288;366;1608;567;1;0.8848
00008.png;1222;448;1431;611;1;0.9272
00008.png;1224;451;1328;500;1;0.8614
00008.png;1313;457;1431;510;1;0.8219
00009.png;1261;422;1526;590;1;0.9581
00010.png;1186;464;1442;632;1;0.9478
00010.png;1189;465;1319;521;1;0.8529
00010.png;1297;472;1445;529;1;0.8007
00010.png;1321;479;1367;517;1;0.6163
00011.png;708;546;782;595;1;0.9166
00011.png;1184;362;1517;628;1;0.8346
00011.png;1193;366;1375;450;1;0.7088
00011.png;1347;385;1522;467;1;0.6494
00012.png;1101;313;1550;635;1;0.9220
00013.png;739;179;996;384;1;0.9361
00014.png;797;76;1133;340;1;0.8760
00014.png;935;84;1138;150;1;0.8226
00014.png;792;86;963;152;1;0.8057
00015.png;630;197;879;403;1;0.9546
00016.png;838;158;1127;372;1;0.8038
00016.png;841;167;976;221;1;0.7923
00016.png;957;165;1100;220;1;0.7412
00016.png;1018;263;1083;324;1;0.6572
00017.png;586;185;841;398;1;0.9314
00018.png;1229;364;1643;590;1;0.8392
00018.png;1234;366;1442;450;1;0.7796
00018.png;1409;378;1645;465;1;0.7262
00019.png;700;60;1197;283;1;0.9263
00019.png;844;156;997;270;1;0.8840
00019.png;991;171;1088;276;1;0.8825
00019.png;892;205;981;256;1;0.8821
00019.png;1066;197;1167;278;1;0.8663
00019.png;825;81;896;122;1;0.8389
00019.png;810;116;926;157;1;0.8389
00019.png;865;155;926;209;1;0.8389
00019.png;746;156;833;194;1;0.8389
00019.png;812;142;970;216;1;0.8385
00019.png;1020;169;1153;208;1;0.8353
00019.png;827;200;884;245;1;0.8261
00019.png;1064;218;1105;259;1;0.8031
00020.png;700;60;1197;283;1;0.9263
00020.png;844;156;997;270;1;0.8840
00020.png;991;171;1088;276;1;0.8825
00020.png;892;205;981;256;1;0.8821
00020.png;1066;197;1167;278;1;0.8663
00020.png;825;81;896;122;1;0.8389
00020.png;810;116;926;157;1;0.8389
00020.png;865;155;926;209;1;0.8389
00020.png;746;156;833;194;1;0.8389
00020.png;812;142;970;216;1;0.8385
00020.png;1020;169;1153;208;1;0.8353
00020.png;827;200;884;245;1;0.8261
00020.png;1064;218;1105;259;1;0.8031
00021.png;1284;362;1720;562;1;0.8707
