00000.png;0;0;1920;508;1;0.8427
00000.png;565;0;653;21;1;0.8389
00000.png;126;589;233;638;1;0.8385
00000.png;1800;0;1920;93;1;0.7699
00000.png;427;602;479;624;1;0.6689
00000.png;544;599;663;687;1;0.6356
00001.png;0;0;1920;508;1;0.8422
00001.png;826;613;885;632;1;0.7764
00001.png;1814;0;1920;65;1;0.6174
00002.png;0;0;1920;492;1;0.8381
00002.png;422;604;463;655;1;0.7808
00002.png;156;576;239;606;1;0.6671
00002.png;1798;0;1920;76;1;0.6549
00002.png;391;664;513;716;1;0.4324
00002.png;0;218;155;289;1;0.4015
00003.png;1294;400;1585;588;1;0.9655
00003.png;1397;426;1480;461;1;0.8389
00003.png;1334;497;1384;524;1;0.8063
00003.png;1317;519;1351;558;1;0.7986
00003.png;1514;489;1563;524;1;0.7970
00003.png;1315;489;1345;525;1;0.7956
00004.png;1312;468;1618;619;1;0.8879
00004.png;1442;418;1614;492;1;0.8879
00004.png;1095;579;1151;621;1;0.8863
00004.png;1346;428;1477;488;1;0.8766
00004.png;1333;827;1420;870;1;0.8429
00004.png;1357;446;1410;471;1;0.8389
00004.png;1379;561;1449;588;1;0.8389
00004.png;1494;436;1521;477;1;0.8389
00004.png;1465;527;1508;553;1;0.8389
00004.png;1546;442;1595;466;1;0.8389
00004.png;1486;562;1539;585;1;0.8389
00004.png;1554;520;1594;561;1;0.8389
00004.png;163;575;270;600;1;0.8308
00004.png;255;557;279;601;1;0.8226
00004.png;1107;802;1920;1080;1;0.8124
00004.png;155;545;310;604;1;0.7377
00004.png;1397;601;1450;625;1;0.6773
00004.png;1040;577;1318;631;1;0.6299
00004.png;422;681;481;704;1;0.5944
00004.png;109;591;499;686;1;0.5818
00004.png;277;626;328;660;1;0.5609
00004.png;1404;490;1506;532;1;0.5311
00004.png;0;684;454;796;1;0.5198
00004.png;0;535;724;748;1;0.5143
00004.png;602;595;771;628;1;0.4811
00005.png;614;620;643;649;1;0.9056
00005.png;1145;459;1262;517;1;0.8995
00005.png;1232;460;1399;521;1;0.8933
00005.png;1108;498;1433;650;1;0.8740
00005.png;262;610;308;637;1;0.8727
00005.png;1154;472;1213;498;1;0.8389
00005.png;1261;469;1309;509;1;0.8389
00005.png;1185;556;1233;583;1;0.8389
00005.png;1343;557;1382;596;1;0.8389
00005.png;921;613;982;654;1;0.7497
00005.png;656;614;710;647;1;0.7239
00005.png;379;609;452;631;1;0.6597
00005.png;1001;624;1138;667;1;0.5739
00005.png;1199;521;1300;562;1;0.4805
